nutrient_id,sex_code,life_code,age_band_id,ref_code,calc_kind,factor,var,per_unit,offset
vitamin_b6,F,general,4,RDA,ABS,0.6,,,
vitamin_b6,F,general,4,UL,ABS,15,,,
vitamin_b6,F,general,5,EAR,ABS,0.6,,,
vitamin_b6,F,general,5,RDA,ABS,0.7,,,
vitamin_b6,F,general,5,UL,ABS,20,,,
vitamin_b6,F,general,6,EAR,ABS,0.8,,,
vitamin_b6,F,general,6,RDA,ABS,0.9,,,
vitamin_b6,F,general,6,UL,ABS,25,,,
vitamin_b6,F,general,7,EAR,ABS,1.0,,,
vitamin_b6,F,general,7,RDA,ABS,1.2,,,
vitamin_b6,F,general,7,UL,ABS,30,,,
vitamin_b6,F,general,8,EAR,ABS,1.1,,,
vitamin_b6,F,general,8,RDA,ABS,1.3,,,
vitamin_b6,F,general,8,UL,ABS,40,,,
vitamin_b6,F,general,9,EAR,ABS,1.1,,,
vitamin_b6,F,general,9,RDA,ABS,1.3,,,
vitamin_b6,F,general,9,UL,ABS,45,,,
vitamin_b6,F,general,10,EAR,ABS,1.0,,,
vitamin_b6,F,general,10,RDA,ABS,1.2,,,
vitamin_b6,F,general,10,UL,ABS,45,,,
vitamin_b6,F,general,11,EAR,ABS,1.0,,,
vitamin_b6,F,general,11,RDA,ABS,1.2,,,
vitamin_b6,F,general,11,UL,ABS,45,,,
vitamin_b6,F,general,12,EAR,ABS,1.0,,,
vitamin_b6,F,general,12,RDA,ABS,1.2,,,
vitamin_b6,F,general,12,UL,ABS,45,,,
vitamin_b6,F,general,13,EAR,ABS,1.0,,,
vitamin_b6,F,general,13,RDA,ABS,1.2,,,
vitamin_b6,F,general,13,UL,ABS,45,,,
vitamin_b6,F,general,14,EAR,ABS,1.0,,,
vitamin_b6,F,general,14,RDA,ABS,1.2,,,
vitamin_b6,F,general,14,UL,ABS,40,,,
vitamin_b6,F,pregnant,10,EAR,ABS,1.2,,,
vitamin_b6,F,pregnant,10,RDA,ABS,1.4,,,
vitamin_b6,F,pregnant,11,EAR,ABS,1.2,,,
vitamin_b6,F,pregnant,11,RDA,ABS,1.4,,,
vitamin_b6,F,lactating,10,EAR,ABS,1.3,,,
vitamin_b6,F,lactating,10,RDA,ABS,1.5,,,
vitamin_b6,F,lactating,11,EAR,ABS,1.3,,,
vitamin_b6,F,lactating,11,RDA,ABS,1.5,,,
# --- ビタミンB12 (vitamin_b12) ---
vitamin_b12,M,general,1,AI,ABS,0.4,,,
vitamin_b12,M,general,2,AI,ABS,0.9,,,
vitamin_b12,M,general,3,AI,ABS,1.5,,,
vitamin_b12,M,general,4,AI,ABS,1.5,,,
vitamin_b12,M,general,5,AI,ABS,2.0,,,
vitamin_b12,M,general,6,AI,ABS,2.5,,,
vitamin_b12,M,general,7,AI,ABS,3.0,,,
vitamin_b12,M,general,8,AI,ABS,4.0,,,
vitamin_b12,M,general,9,AI,ABS,4.0,,,
vitamin_b12,M,general,10,AI,ABS,4.0,,,
vitamin_b12,M,general,11,AI,ABS,4.0,,,
vitamin_b12,M,general,12,AI,ABS,4.0,,,
vitamin_b12,M,general,13,AI,ABS,4.0,,,
vitamin_b12,M,general,14,AI,ABS,4.0,,,
vitamin_b12,F,general,1,AI,ABS,0.4,,,
vitamin_b12,F,general,2,AI,ABS,0.9,,,
vitamin_b12,F,general,3,AI,ABS,1.5,,,
vitamin_b12,F,general,4,AI,ABS,1.5,,,
vitamin_b12,F,general,5,AI,ABS,2.0,,,
vitamin_b12,F,general,6,AI,ABS,2.5,,,
vitamin_b12,F,general,7,AI,ABS,3.0,,,
vitamin_b12,F,general,8,AI,ABS,4.0,,,
vitamin_b12,F,general,9,AI,ABS,4.0,,,
vitamin_b12,F,general,10,AI,ABS,4.0,,,
vitamin_b12,F,general,11,AI,ABS,4.0,,,
vitamin_b12,F,general,12,AI,ABS,4.0,,,
vitamin_b12,F,general,13,AI,ABS,4.0,,,
vitamin_b12,F,general,14,AI,ABS,4.0,,,
